iter	Passed	Remaining
443	1171	1466
444	1172	1462
445	1174	1458
446	1175	1454
447	1177	1450
448	1179	1446
449	1180	1442
450	1182	1439
451	1184	1435
452	1186	1432
453	1187	1428
454	1189	1424
455	1190	1420
456	1192	1416
457	1194	1413
458	1195	1409
459	1197	1406
460	1199	1402
461	1201	1398
462	1202	1395
463	1204	1391
464	1206	1387
465	1207	1384
466	1209	1380
467	1211	1376
468	1213	1373
469	1215	1370
470	1216	1366
471	1218	1362
472	1219	1359
473	1221	1355
474	1222	1351
475	1224	1347
476	1226	1344
477	1228	1341
478	1230	1338
479	1232	1335
480	1234	1332
481	1236	1329
482	1238	1326
483	1240	1322
484	1243	1320
485	1245	1317
486	1247	1313
487	1248	1310
488	1250	1306
489	1252	1303
490	1253	1299
491	1255	1296
492	1257	1292
493	1259	1289
494	1261	1286
495	1262	1283
496	1264	1279
497	1266	1276
498	1268	1273
499	1269	1269
500	1271	1266
501	1273	1263
502	1275	1260
503	1277	1256
504	1278	1253
505	1280	1250
506	1282	1246
507	1283	1243
508	1285	1239
509	1286	1236
510	1289	1233
511	1291	1230
512	1292	1227
513	1294	1223
514	1296	1220
515	1297	1217
516	1299	1213
517	1300	1210
518	1302	1207
519	1304	1204
520	1306	1200
521	1307	1197
522	1309	1194
523	1310	1190
524	1312	1187
525	1314	1184
526	1315	1180
527	1317	1177
528	1319	1174
529	1321	1171
530	1322	1168
531	1324	1165
532	1326	1161
533	1327	1158
534	1329	1155
535	1330	1152
536	1332	1148
537	1334	1146
538	1336	1142
539	1338	1139
540	1340	1136
541	1341	1133
542	1343	1130
543	1345	1127
544	1346	1124
545	1349	1121
546	1351	1118
547	1352	1115
548	1354	1112
549	1356	1109
550	1358	1106
551	1360	1103
552	1362	1101
553	1365	1098
554	1367	1096
555	1368	1093
556	1370	1090
557	1372	1087
558	1374	1084
559	1375	1080
560	1377	1077
561	1379	1075
562	1382	1072
563	1384	1070
564	1385	1066
565	1387	1063
566	1388	1060
567	1390	1057
568	1392	1054
569	1394	1052
570	1396	1049
571	1398	1046
572	1400	1043
